timestamp,position,velocity
1740507761.225906,182.82706000000007,20.0
1740507761.2341802,182.99250000000006,20.0
1740507761.2509341,183.32764000000006,20.0
1740507761.2592168,183.49328000000006,20.0
1740507761.267513,183.65926000000005,20.0
1740507761.276682,183.84266000000008,20.0
1740507761.2928672,184.16608000000008,20.0
1740507761.3008618,184.32622000000006,20.0
1740507761.317653,184.66184000000007,20.0
1740507761.325917,184.8273400000001,20.0
1740507761.3341749,184.99252000000007,20.0
1740507761.342616,185.16132000000007,20.0
1740507761.359276,185.4944400000001,20.0
1740507761.367755,185.6638400000001,20.0
1740507761.3842812,185.9945400000001,20.0
1740507761.3926332,186.16156000000012,20.0
1740507761.400893,186.32686000000012,20.0
1740507761.409208,186.49318000000014,20.0
1740507761.4259572,186.82810000000012,20.0
1740507761.43438,186.99656000000013,20.0
1740507761.451164,187.33194000000015,20.0
1740507761.459222,187.49342000000013,20.0
1740507761.467577,187.66048000000012,20.0
1740507761.47597,187.82840000000016,20.0
1740507761.492649,188.16196000000014,20.0
1740507761.500959,188.32808000000017,20.0
1740507761.517625,188.66144000000014,20.0
1740507761.52595,188.82800000000015,20.0
1740507761.53466,189.00206000000014,20.0
1740507761.542607,189.16110000000015,20.0
1740507761.5593102,189.49518000000018,20.0
1740507761.5675719,189.66038000000017,20.0
1740507761.5843241,189.99544000000017,20.0
1740507761.5926158,190.16114000000016,20.0
1740507761.6008918,190.32684000000017,20.0
1740507761.6093462,190.49592000000018,20.0
1740507761.626148,190.83174000000017,20.0
1740507761.634332,190.99564000000018,20.0
1740507761.642572,191.16040000000015,20.0
1740507761.659324,191.49544000000014,20.0
1740507761.667549,191.65994000000018,20.0
1740507761.675927,191.82754000000017,20.0
1740507761.692627,192.16154000000017,20.0
1740507761.7011452,192.3319000000002,20.0
1740507761.709368,192.49626000000018,20.0
1740507761.726022,192.8294000000002,20.0
1740507761.734252,192.9940200000002,20.0
1740507761.742671,193.1624200000002,20.0
1740507761.7593322,193.4956400000002,20.0
1740507761.767603,193.66104000000018,20.0
1740507761.7758982,193.8269000000002,20.0
1740507761.7928782,194.1664000000002,20.0
1740507761.800915,194.3272800000002,20.0
1740507761.809319,194.4952800000002,20.0
1740507761.82599,194.82876000000022,20.0
1740507761.834261,194.9942000000002,20.0
1740507761.842655,195.1621000000002,20.0
1740507761.859306,195.4950400000002,20.0
1740507761.8675961,195.66082000000017,20.0
1740507761.876089,195.83060000000017,20.0
1740507761.892647,196.16192000000015,20.0
1740507761.900873,196.32646000000017,20.0
1740507761.909292,196.49468000000013,20.0
1740507761.925995,196.82880000000014,20.0
1740507761.934253,196.99406000000013,20.0
1740507761.9426482,197.16194000000013,20.0
1740507761.9594932,197.49872000000016,20.0
1740507761.967581,197.66054000000017,20.0
1740507761.975879,197.82658000000018,20.0
1740507761.992697,198.16292000000016,20.0
1740507762.0008278,198.32554000000013,20.0
1740507762.009282,198.49464000000017,20.0
1740507762.025929,198.82756000000018,20.0
1740507762.035074,199.01032000000018,20.0
1740507762.0425441,199.15978000000015,20.0
1740507762.059316,199.49530000000016,20.0
1740507762.067497,199.65894000000014,20.0
1740507762.075917,199.82724000000016,20.0
1740507762.092576,200.16028000000014,20.0
1740507762.100918,200.32736000000017,20.0
1740507762.10919,200.49280000000016,20.0
1740507762.1177201,200.66328000000016,20.0
1740507762.134269,200.99428000000017,20.0
1740507762.142505,201.15900000000016,20.0
1740507762.150883,201.32664000000014,20.0
1740507762.167574,201.66048000000015,20.0
1740507762.175885,201.82670000000013,20.0
1740507762.192555,202.16006000000016,20.0
1740507762.2009442,202.32776000000018,20.0
